,retained_mean,churned_mean,retained_median,churned_median,standardized_mean_difference,absolute_standardized_difference
hours_since_last_activity,13.50709617825268,34.34412901912902,5.03875,33.804027777777776,0.9699900508269835,0.9699900508269835
active_days,3.4522844509948416,2.634065934065934,4.0,2.0,-0.9643536436341947,0.9643536436341947
observation_span_hours,66.77764712806027,45.7429828042328,73.03347222222223,45.87652777777778,-0.9377447911652738,0.9377447911652738
session_count,9.882277081798083,5.0366300366300365,9.0,4.0,-0.817129264959937,0.817129264959937
mean_reststep,0.21469730596298395,0.31643250803496914,0.189705199838702,0.298202061390349,0.7798872921284272,0.7798872921284272
unique_levels,98.35593220338983,52.95494505494506,90.0,40.0,-0.7632591808708097,0.7632591808708097
mean_level_passrate,0.7728352896924172,0.8714981919612353,0.7979815418579184,0.8989127462109495,0.759889859833362,0.759889859833362
weekend_attempt_rate,0.641343399097901,0.8168442434562345,0.6418831767090474,0.9243331164606376,0.7214635431396489,0.7214635431396489
last25_success_rate,0.4751612276299712,0.6621238270647668,0.44,0.72,0.7011793394514644,0.7011793394514644
retry_rate,0.36837690291647585,0.2334835631168628,0.3712346477052359,0.2068965517241379,-0.6814177736207191,0.6814177736207191
success_rate,0.6301239808810525,0.7599844928642245,0.6274294670846395,0.782608695652174,0.6736615893577206,0.6736615893577206
last25_mean_level,104.06734978350134,51.71594845355482,89.68,35.08,-0.6677788563828898,0.6677788563828898
total_duration,21720.06429624171,9048.641758241758,16364.0,4930.0,-0.6506791295439843,0.6506791295439843
total_attempts,199.8605379513633,86.05494505494505,144.0,49.0,-0.6169779470241877,0.6169779470241877
max_level,152.89591009579956,83.71721611721611,137.0,44.0,-0.6105893909059461,0.6105893909059461
level_std,33.16982971473799,18.709023522835288,30.983001328257522,12.953464553448903,-0.6102488207544566,0.6102488207544566
max_duration,375.02579218865145,283.35567765567765,382.0,245.5,-0.6036682405797713,0.6036682405797713
mean_level_retrytimes,0.7162946896789291,0.2757703340104493,0.39736839816409136,0.11196977417423054,-0.5994019909012673,0.5994019909012673
successes,100.98065585851143,54.358608058608056,90.0,40.0,-0.5940590270755509,0.5940590270755509
failures,98.87988209285187,31.696336996336996,51.0,9.5,-0.5629196286551383,0.5629196286551383
mean_level,68.16493647219103,34.47035367808037,57.07478552077062,24.25462962962963,-0.5609331533870093,0.5609331533870093
duration_per_active_day,5894.216163104888,3179.773901098901,4619.75,1987.6666666666665,-0.5408316305768939,0.5408316305768939
mean_duration_ratio,0.6147956394286379,0.7790217891125397,0.5865836897314359,0.72968148721429,0.5378863751483071,0.5378863751483071
levels_per_active_day,27.6102309014984,19.388675213675214,25.75,15.666666666666666,-0.5311684805696677,0.5311684805696677
attempts_per_active_day,54.442059690493736,30.60662393162393,41.0,20.0,-0.49807343567829226,0.49807343567829226
retry_attempts,101.50460574797347,33.1,51.0,9.0,-0.4952200991476383,0.4952200991476383
hard_level_attempt_rate,0.11399668071575002,0.029288387415791668,0.0040817006530721005,0.0,-0.46541244821788624,0.46541244821788624
success_rate_change,-0.15496275325108133,-0.0978606657994576,-0.1537653999652958,-0.056141423176306854,0.45472826427592095,0.45472826427592095
median_duration,102.30683492999263,92.17326007326007,101.0,91.0,-0.43045222425206203,0.43045222425206203
reststep_std,0.21716424268843623,0.23474720674806607,0.2180536820029116,0.23722114206582684,0.4281641937831202,0.4281641937831202
mean_duration,109.14506657388388,98.82692653310093,107.49660179178251,97.94482496194826,-0.41730543469265974,0.41730543469265974
attempts_per_level,1.7985172615973473,1.430519865714675,1.5904185742315238,1.2608695652173914,-0.37213192117494875,0.37213192117494875
help_uses,8.574613117170228,4.279120879120879,7.0,2.0,-0.34989522071465506,0.34989522071465506
min_reststep,0.0072811959021264645,0.03346272743409212,0.0,0.0,0.3372499546919727,0.3372499546919727
last25_mean_duration,116.19565526716708,106.23767970593659,113.22,104.45,-0.32787318095337925,0.32787318095337925
duration_std,48.559078968944185,46.466661209803476,45.758251827923004,42.16730801103227,-0.11085780312001008,0.11085780312001008
help_rate,0.0454846886823047,0.04188114339398236,0.04,0.03590713004701655,-0.08878746235305213,0.08878746235305213
night_attempt_rate,0.10715289451030088,0.09240912680279273,0.0,0.0,-0.08307524421894782,0.08307524421894782
duration_change_ratio,1.0634426862527426,1.071568751844478,1.0590170451739227,1.0507570703908256,0.06361996994969434,0.06361996994969434
min_level,1.9845246868091377,1.710989010989011,1.0,1.0,-0.021827774636454446,0.021827774636454446
last25_help_rate,0.05196913343445194,0.05293817250574626,0.04,0.04,0.01406927126322359,0.01406927126322359
