,count,mean,std,min,25%,50%,75%,95%,max,missing
total_attempts,8158.0,161.77653836724687,184.45650034223456,2.0,44.0,107.0,211.0,509.0,4122.0,0
unique_levels,8158.0,83.16290757538613,59.48305410050404,1.0,36.0,73.0,121.0,193.0,804.0,0
min_level,8158.0,1.8929884775680315,12.531542054832123,1.0,1.0,1.0,1.0,2.0,610.0,0
max_level,8158.0,129.7458936013729,113.29822464805909,1.0,39.0,122.0,178.0,311.0,1509.0,0
mean_level,8158.0,56.88935286984706,60.06880247790145,1.0,21.549603174603178,45.672464940668824,76.122900638824,143.52096395736152,1381.3533834586467,0
level_std,8158.0,28.33065333524616,23.696573758265796,0.0,11.315209468674059,26.471377488688468,38.32798438569867,63.30200076034113,525.1423049766514,0
successes,8158.0,85.37901446432949,78.48049718125753,0.0,35.25,72.5,120.75,201.0,3293.0,0
success_rate,8158.0,0.6735806121281793,0.1927681703019213,0.0,0.5289762112342757,0.68,0.8275862068965517,1.0,1.0,0
failures,8158.0,76.39752390291738,119.34837883877302,0.0,7.25,31.0,93.0,311.14999999999964,2503.0,0
help_uses,8158.0,7.137165972051974,12.27651017717784,0.0,1.0,5.0,11.0,20.0,650.0,0
help_rate,8158.0,0.04427879524799237,0.04058619531205088,0.0,0.0136986301369863,0.0387096774193548,0.06527341999103535,0.1147540983606557,0.796875,0
total_duration,8158.0,17479.688771757785,19474.1493351423,22.0,4332.0,11737.5,24300.25,53766.5,534421.0,0
mean_duration,8158.0,105.69219548889525,24.72563063642373,11.0,89.65029069767442,104.41885964912282,120.1345371920593,147.90563058109353,393.0,0
median_duration,8158.0,98.91572689384653,23.541694724287446,7.0,84.0,98.0,112.5,139.0,393.0,0
duration_std,8158.0,47.858870525397464,18.87479004861339,1.4142135623730951,34.855126884028515,44.675422679965294,57.37706338740684,81.22668116861941,264.45793616376875,0
max_duration,8158.0,344.3492277519,151.85512235152964,12.0,210.0,331.0,484.0,581.0,600.0,0
mean_reststep,8158.0,0.2487420597821209,0.1304485957122533,0.0261563434201383,0.15053351927670744,0.22156585363045245,0.32151454868793167,0.4977751807275616,1.0,0
reststep_std,8158.0,0.22304822060983726,0.041065937588737764,0.0,0.198835257920773,0.2246006986241863,0.24706094843259113,0.28592818665904285,0.7071067811865476,0
min_reststep,8158.0,0.016042605694019853,0.07763242416408495,0.0,0.0,0.0,0.0,0.074074074074074,1.0,0
active_days,8158.0,3.17847511645011,0.8484631362468101,2.0,2.0,3.0,4.0,4.0,4.0,0
session_count,8158.0,8.260725668055896,5.930086282499776,1.0,4.0,7.0,11.0,20.0,42.0,0
weekend_attempt_rate,8158.0,0.7000731496615502,0.2432567051061138,0.0,0.5228081439423241,0.7122619445372536,0.9361702127659576,1.0,1.0,0
night_attempt_rate,8158.0,0.10221902765059296,0.17747486445721927,0.0,0.0,0.0,0.1428571428571428,0.4872732958098809,1.0,0
hard_level_attempt_rate,8158.0,0.0856498260076247,0.1820069351911738,0.0,0.0,0.0,0.03091559125303025,0.5521655701754384,1.0,0
mean_level_passrate,8158.0,0.8058519265144168,0.12983842459807812,0.3096852443711774,0.7389037259142213,0.8323351682343729,0.9110751385688116,0.9676167709330225,0.9918362833378712,0
mean_level_retrytimes,8158.0,0.5688772477844757,0.7349397605538522,0.003039278618172,0.08716894928473357,0.28656523267741807,0.6736808148263433,2.3395679235278113,6.664554135754234,0
mean_duration_ratio,8158.0,0.6697524166579896,0.3053175489686294,0.1181992312399226,0.4791923555735918,0.6356604875871669,0.8114329314925499,1.1610257060539892,8.967321403080494,0
retry_attempts,8158.0,78.61363079186076,138.12970407644994,0.0,7.0,31.0,94.0,319.0,3910.0,0
retry_rate,8158.0,0.3232360819244504,0.197959819983644,0.0,0.1627906976744186,0.3148148148148148,0.4703341459639347,0.6561169657762937,0.9730285127151296,0
attempts_per_level,8158.0,1.67537030269079,0.9888896247351684,1.0,1.1944444444444444,1.4594594594594594,1.8879827586206896,2.9079655781112086,37.07619047619048,0
attempts_per_active_day,8158.0,46.46574936667484,47.85526400622019,1.0,16.5,33.333333333333336,60.0,133.86249999999973,1030.5,0
duration_per_active_day,8158.0,4985.852915338726,5019.015361787453,11.0,1635.7916666666667,3647.5,6728.729166666667,14052.075,133605.25,0
levels_per_active_day,8158.0,24.858962572525943,15.478244640957858,0.3333333333333333,13.0,22.5,34.25,53.26249999999997,201.0,0
observation_span_hours,8158.0,59.738589319277594,22.431118276529237,0.0402777777777777,44.345416666666665,69.7475,76.67215277777778,85.5213611111111,95.88361111111112,0
hours_since_last_activity,8158.0,20.480018420909264,21.481697490723054,0.0,2.521736111111111,9.44027777777778,34.66291666666667,60.21775,71.98944444444444,0
last25_success_rate,8158.0,0.5377265495786097,0.26664020018196377,0.0,0.32,0.52,0.76,1.0,1.0,0
last25_mean_duration,8158.0,112.86330992735839,30.371424501006796,11.0,93.28,110.84,130.11,165.44599999999997,393.0,0
last25_help_rate,8158.0,0.05229341348650312,0.06887628031078943,0.0,0.0,0.04,0.08,0.16,0.96,0
last25_mean_level,8158.0,86.54843269221011,78.39631463253363,1.0,30.130000000000003,71.94,120.91999999999999,214.29199999999997,1384.8,0
success_rate_change,8158.0,-0.13585406254956958,0.1255740888298406,-0.6683191850594228,-0.22861074705111403,-0.12430506058446181,-0.0177777777777777,0.004833984657692763,0.4012518195050946,0
duration_change_ratio,8158.0,1.0661619996954295,0.12772822115698745,0.3545129643926412,1.0,1.056385416043927,1.1436717122200855,1.2751896358183714,1.7614440526084485,0
