feature,importance
duration_per_active_day,0.9223188585503089
attempts_per_active_day,0.7609775731363081
levels_per_active_day,0.6749147094333695
hours_since_last_activity,0.4886341723112064
retry_attempts,0.4615208409095947
total_duration,0.3679345550655961
session_count,0.34210784609130046
unique_levels,0.2774288003336397
total_attempts,0.25614399467088755
mean_level_retrytimes,0.2543929430295448
successes,0.2460124556704737
failures,0.23410661526132284
weekend_attempt_rate,0.22145839485088645
mean_duration,0.21353342318037322
mean_level,0.21125114483974736
reststep_std,0.17467393204615025
mean_level_passrate,0.15844181726813167
active_days,0.1451112871633085
mean_duration_ratio,0.1217077888008651
retry_rate,0.11468325929789837
level_std,0.11445241058802075
observation_span_hours,0.10446557309401056
max_level,0.10349174901812287
success_rate_change,0.07679900195567378
min_reststep,0.07663802198210695
last25_help_rate,0.07036241083296343
hard_level_attempt_rate,0.0668190692183113
last25_mean_level,0.06377630935265773
max_duration,0.062799689097726
mean_reststep,0.06208393846642565
help_rate,0.0618155474722629
last25_mean_duration,0.0455581025313737
night_attempt_rate,0.043463541393997863
attempts_per_level,0.03159374557380889
help_uses,0.03128420981733592
duration_std,0.030006729931680114
last25_success_rate,0.02903468926966519
min_level,0.01757830836917347
success_rate,0.009867548836315179
duration_change_ratio,0.009305615369243708
median_duration,0.004790654649489201
