feature,mean_absolute_shap,mean_signed_shap
hours_since_last_activity,0.05137917327135355,-0.0038794740050497717
weekend_attempt_rate,0.033090951712958144,-0.0002712551371348792
observation_span_hours,0.03145332321969564,-0.003963956955999706
active_days,0.018826219984898654,-0.002874760392727931
total_duration,0.013772026796622297,-0.0002375158632840235
session_count,0.011823450332440201,-0.0008017435868931911
last25_mean_level,0.011702162498251234,-0.00032856484742838484
reststep_std,0.01019604458478874,-0.003335691990681684
mean_level_retrytimes,0.009354920235223432,0.000364744462612369
mean_level,0.009161558160782944,-0.0003409935773507186
total_attempts,0.00821534674983693,-9.385653004671468e-05
mean_level_passrate,0.006930826566197742,-7.400304798304582e-05
mean_reststep,0.0068642635883001185,-0.001263668981432766
failures,0.005596183647863639,-8.802595155691474e-05
unique_levels,0.005419042025403249,-0.0001970220188601083
help_rate,0.005332613907721525,-0.0013644148216194263
retry_attempts,0.004255644059217343,2.6238624761798626e-05
successes,0.0033314167444844535,-2.5727722374913094e-05
level_std,0.0027496172659991114,0.00025328153803827447
median_duration,0.0027079889638946457,0.0001355389096372001
help_uses,0.002689626284737963,-0.00022674865004093536
attempts_per_level,0.002429897477870948,-0.0001412818892876392
last25_help_rate,0.0024203991221475097,-0.00035491792750229074
max_level,0.002382697409929273,0.0003745955522732198
mean_duration,0.0022123083030238452,0.00035189738475517547
last25_mean_duration,0.002172530258116815,0.00042580522047670847
attempts_per_active_day,0.002142242358785579,0.00046672747758070014
duration_per_active_day,0.002110907474669389,-2.795672401925432e-05
max_duration,0.002068930014874198,0.00012095544959805782
retry_rate,0.001988457376234318,-0.0001435700416367212
levels_per_active_day,0.0019377383667039643,5.736346935125035e-05
success_rate_change,0.0018677064844879803,-5.484223832934865e-05
mean_duration_ratio,0.0014379798059045575,0.00036218768152033185
duration_std,0.0013302075643879016,-9.666316768418783e-05
success_rate,0.001264736974259608,0.0002466167849271653
duration_change_ratio,0.0011591851060360468,-0.0001868158433568223
night_attempt_rate,0.0011450853449979483,6.898403678137595e-05
last25_success_rate,0.0009725698828581086,-7.34356435123423e-05
hard_level_attempt_rate,0.00039815910617892723,4.117169091521878e-06
min_reststep,0.00014582681715218085,-8.47784732371564e-06
min_level,0.00013562609734518754,6.893520185483534e-05
